English,French,Portuguese,sim_en_fr,sim_fr_pt,sim_pt_en
I,Je,Eu,0.92096186,0.93429196,0.8966576
You,toi,você,0.9686157,0.85483617,0.88053393
He,Il,Ele,0.9495003,0.93983483,0.93586403
She,Elle,Ela,0.92041826,0.9234857,0.8541825
It,Il,Ele,0.9368285,0.93983483,0.9196775
We,Nous,nós,0.92320484,0.9048772,0.86115617
They,Ils,Eles,0.94962,0.93082136,0.89736867
My,Mon,Meu,0.95817465,0.8427472,0.8504698
Your,Ton,Seu,0.957805,0.928004,0.92083395
His,Son,Dele,0.9631194,0.7870724,0.77581507
Her,Son,Dela,0.9510319,0.915391,0.97213924
Its,Son,Dele,0.9583681,0.7870724,0.84411645
Our,Notre,Nosso,0.95094347,0.92918897,0.93667966
Their,Leur,Deles,0.94952327,0.89554095,0.91595095
Me,Moi,Me,0.93432134,0.93432134,1.0000005
Him,Lui,Ele,0.95977575,0.92113054,0.8857929
Her,Elle,Ela,0.86870587,0.9234857,0.79487747
Us,Nous,nós,0.8537644,0.9048772,0.79577994
Them,Eux,Eles,0.8632635,0.8837593,0.62344354
This,Ce,Este,0.95057535,0.9532961,0.93582636
That,Ce,Aquele,0.94303983,0.89084136,0.8591939
These,Ces,Estes,0.96012264,0.9122898,0.90922904
Those,Ces,Aqueles,0.95747393,0.90581906,0.9071738
Who,Qui,Quem,0.94994247,0.9025438,0.8649284
What,Quoi,o que,0.9555295,0.9542831,0.9445376
Which,Lequel,Qual,0.9292836,0.80751336,0.8878529
Where,où,Onde,0.84930354,0.91502666,0.8488591
When,Quand,Quando,0.9422041,0.9216289,0.8733978
Why,Pourquoi,Por que,0.93005896,0.91846645,0.8909484
How,Comment,Como,0.9387132,0.83751667,0.91035813
One,Un,Um,0.9342661,0.91545254,0.9070091
Two,Deux,Dois,0.897713,0.89668614,0.8497655
Three,Trois,três,0.935287,0.89901483,0.9597443
Four,Quatre,Quatro,0.9121672,0.9062043,0.9689888
Five,Cinq,Cinco,0.9627277,0.87985927,0.92522097
Six,Six,Seis,0.9999999,0.92378896,0.92378896
Seven,Sept,Sete,0.9494642,0.9647987,0.94292283
Eight,Huit,Oito,0.9784506,0.9257102,0.9609647
Nine,Neuf,Nove,0.9879268,0.9594924,0.9627194
Ten,Dix,Dez,0.98035645,0.98403907,0.9778775
Eleven,Onze,Onze,0.96892315,1.0000001,0.96892315
Twelve,Douze,Doze,0.9379112,0.9669528,0.90921646
Thirteen,Treize,Treze,0.9611566,0.98846644,0.94112027
Fourteen,Quatorze,Quatorze,0.95001966,1.0000002,0.95001966
Fifteen,Quinze,Quinze,0.9509615,1.0000002,0.9509615
Sixteen,Seize,Dezesseis,0.94096214,0.9671208,0.938656
Seventeen,Dix-sept,Dezessete,0.9419261,0.9671502,0.9199082
Eighteen,Dix-huit,Dezoito,0.97207004,0.9686787,0.97728175
