English,French,Portuguese
I,Je,Eu
You,toi,você
He,Il,Ele
She,Elle,Ela
It,Il,Ele
We,Nous,nós
They,Ils,Eles
My,Mon,Meu
Your,Ton,Seu
His,Son,Dele
Her,Son,Dela
Its,Son,Dele
Our,Notre,Nosso
Their,Leur,Deles
Me,Moi,Me
Him,Lui,Ele
Her,Elle,Ela
Us,Nous,nós
Them,Eux,Eles
This,Ce,Este
That,Ce,Aquele
These,Ces,Estes
Those,Ces,Aqueles
Who,Qui,Quem
What,Quoi,o que
Which,Lequel,Qual
Where,où,Onde
When,Quand,Quando
Why,Pourquoi,Por que
How,Comment,Como
One,Un,Um
Two,Deux,Dois
Three,Trois,três
Four,Quatre,Quatro
Five,Cinq,Cinco
Six,Six,Seis
Seven,Sept,Sete
Eight,Huit,Oito
Nine,Neuf,Nove
Ten,Dix,Dez
Eleven,Onze,Onze
Twelve,Douze,Doze
Thirteen,Treize,Treze
Fourteen,Quatorze,Quatorze
Fifteen,Quinze,Quinze
Sixteen,Seize,Dezesseis
Seventeen,Dix-sept,Dezessete
Eighteen,Dix-huit,Dezoito
Nineteen,Dix-neuf,Dezenove
Twenty,Vingt,Vinte
Thirty,Trente,Trinta
Forty,Quarante,Quarenta
Fifty,Cinquante,Cinquenta
Sixty,Soixante,Sessenta
Seventy,Soixante-dix,Setenta
Eighty,Quatre-vingts,Oitenta
Ninety,Quatre-vingt-dix,Noventa
Hundred,Cent,Cem
Thousand,Mille,Mil
Million,Million,milhão
Zero,zéro,Zero
First,Premier,Primeiro
Second,second,Segundo
Third,troisième,Terceiro
Last,Dernier,Ãšltimo
Next,Prochain,próximo
Old,Vieux,Velho
New,Nouveau,Novo
Good,Bon,Bom
Bad,Mauvais,Mau
Big,Grand,Grande
Small,Petit,Pequeno
Large,Grand,Grande
Little,Petit,Pequeno
Long,Long,Longo
Short,Court,Curto
Tall,Grand,Alto
Low,Bas,Baixo
High,Haut,Alto
Wide,Large,Largo
Narrow,étroit,Estreito
Thick,épais,Grosso
Thin,Mince,Fino
Heavy,Lourd,Pesado
Light,lumière,Leve
Red,Rouge,Vermelho
Blue,Bleu,Azul
Green,Vert,Verde
Yellow,Jaune,Amarelo
Black,Noir,Preto
White,Blanc,Branco
Brown,Brun,Marrom
Orange,Orange,Laranja
Pink,Rose,Rosa
Purple,Violet,Roxo
Gray,Gris,Cinza
Clean,Propre,Limpo
Dirty,Sale,Sujo
Hot,Chaud,Quente
Cold,Froid,Frio
Warm,Chaud,Morno
Cool,Frais,Fresco
Wet,mouillé,Molhado
